,city,max_temp,humidity,wind_speed,lat,lng,country,date
67,Nānākuli,78.04,69,4.61,21.3906,-158.1547,US,1628685054
68,Lima,57.45,88,5.75,-12.0432,-77.0282,PE,1628685054
69,Lavrentiya,41.32,74,6.76,65.5833,-171.0,RU,1628684761
70,Yabēlo,69.24,51,5.95,4.8833,38.0833,ET,1628685055
71,San Quintín,67.73,89,5.44,30.4833,-115.95,MX,1628685056
72,Te Anau,49.08,94,7.18,-45.4167,167.7167,NZ,1628685056
73,Biltine,89.49,51,10.29,14.5333,20.9167,TD,1628684871
74,Port Alfred,75.99,36,8.95,-33.5906,26.891,ZA,1628685057
75,Nador,79.05,83,5.75,35.174,-2.9287,MA,1628684767
76,Atuona,77.31,67,17.49,-9.8,-139.0333,PF,1628685057
77,Bundaberg,65.21,90,4.61,-24.85,152.35,AU,1628685058
78,Longyearbyen,49.84,76,8.05,78.2186,15.6401,SJ,1628684866
79,Pisco,59.05,94,3.44,-13.7,-76.2167,PE,1628685058
80,Cape Town,63.52,59,4.0,-33.9258,18.4232,ZA,1628685001
81,Bitburg,74.32,60,5.75,49.9667,6.5333,DE,1628684897
82,Tocopilla,60.67,67,5.1,-22.092,-70.1979,CL,1628684826
83,Newberry,73.09,93,4.36,34.2746,-81.6187,US,1628685060
84,Mersing,76.91,94,4.61,2.4312,103.8405,MY,1628685060
85,Sosnovo-Ozerskoye,57.27,94,8.01,52.5249,111.5418,RU,1628685061
86,Chapais,69.58,91,8.77,49.7834,-74.8492,CA,1628685061
87,Plettenberg Bay,63.07,53,11.01,-34.0527,23.3716,ZA,1628685062
88,Moose Factory,71.58,83,12.66,51.2585,-80.6094,CA,1628685062
89,Chui,42.37,72,7.56,-33.6971,-53.4616,UY,1628685062
90,Nanortalik,48.4,71,9.19,60.1432,-45.2371,GL,1628685063
91,Comarapa,49.95,82,1.81,-17.9,-64.4833,BO,1628685064
92,Severo-Kuril'sk,52.7,82,6.78,50.6789,156.125,RU,1628685064
93,Avarua,73.45,88,2.3,-21.2078,-159.775,CK,1628685064
94,Atherton,67.06,73,4.0,53.5237,-2.4935,GB,1628685065
95,Los Llanos de Aridane,70.12,80,5.75,28.6585,-17.9182,ES,1628685065
96,Khatanga,52.88,67,14.03,71.9667,102.5,RU,1628685011
97,Tiksi,58.55,81,6.46,71.6872,128.8694,RU,1628685066
98,Cap Malheureux,76.46,75,7.0,-19.9842,57.6142,MU,1628685066
99,Ambon City,75.34,94,4.61,-3.6954,128.1814,ID,1628685066
100,Manavālakurichi,80.69,80,18.7,8.1333,77.3,IN,1628685066
101,Sibolga,79.18,90,2.64,1.7427,98.7792,ID,1628685067
102,Santa Cruz Cabrália,75.43,78,3.44,-16.2781,-39.0247,BR,1628685067
103,Mont-Dore,60.78,65,11.43,-22.2833,166.5833,NC,1628685069
104,Yumen,81.32,28,16.58,40.2833,97.2,CN,1628685069
105,Necochea,46.04,68,15.75,-38.5473,-58.7368,AR,1628685069
106,Arrondissement de Mende,81.21,33,5.93,44.6667,3.5,FR,1628685070
107,Aklavik,47.23,91,0.27,68.2191,-135.0107,CA,1628685070
108,Pevek,36.48,84,7.72,69.7008,170.3133,RU,1628685004
109,Tuktoyaktuk,44.65,85,6.98,69.4541,-133.0374,CA,1628685071
110,Shakawe,85.69,10,6.08,-18.3667,21.85,BW,1628685071
111,Puerto Rondón,75.13,85,2.24,6.2805,-71.1,CO,1628685072
112,Cockburn Town,78.76,83,16.11,21.4612,-71.1419,TC,1628684861
113,Alma,71.15,95,4.59,48.5501,-71.6491,CA,1628685073
114,Lagoa,72.28,82,14.63,39.05,-27.9833,PT,1628685074
115,San Cristobal,69.98,92,4.12,7.7669,-72.225,VE,1628685074
116,Bodden Town,82.13,88,5.75,19.2833,-81.25,KY,1628685074
117,Faanui,78.76,70,13.02,-16.4833,-151.75,PF,1628685075
118,Dullewala,108.99,20,10.85,31.8359,71.4362,PK,1628685075
119,Zaozyornoye,83.14,57,16.31,45.1582,33.2787,UA,1628685075
120,Mar del Plata,44.62,81,6.91,-38.0023,-57.5575,AR,1628685058
121,College,52.25,85,4.61,64.8569,-147.8028,US,1628685076
122,Kundiawa,62.31,97,1.05,-6.0167,144.9667,PG,1628685076
123,Dunedin,48.06,79,7.65,-45.8742,170.5036,NZ,1628684923
124,Cherskiy,46.04,71,2.19,68.75,161.3,RU,1628685021
125,Katherine,75.52,53,4.61,-14.4667,132.2667,AU,1628685078
126,Clyde River,44.83,76,13.8,70.4692,-68.5914,CA,1628685078
127,San Patricio,79.7,79,5.08,28.017,-97.5169,US,1628685078
128,Codrington,45.93,84,13.11,-38.2667,141.9667,AU,1628685079
129,Saint Paul Harbor,49.51,93,6.15,57.79,-152.4072,US,1628685079
